# step, temp, etotal, ke, tpot, evdw, ebond
480 23518654130.763447 35277981196.14517 35277981196.14517 -2.5479732366865104e-38 0.0 -2.5479732366865104e-38
490 23518654130.763447 35277981196.14517 35277981196.14517 -2.2508926580844365e-38 0.0 -2.2508926580844365e-38
500 23518654130.763447 35277981196.14517 35277981196.14517 -1.9934468581819608e-38 0.0 -1.9934468581819608e-38
510 23518654130.763447 35277981196.14517 35277981196.14517 -1.7697064733142637e-38 0.0 -1.7697064733142637e-38
520 23518654130.763447 35277981196.14517 35277981196.14517 -1.5747215964812215e-38 0.0 -1.5747215964812215e-38
530 23518654130.763447 35277981196.14517 35277981196.14517 -1.4043452701175127e-38 0.0 -1.4043452701175127e-38
540 23518654130.763447 35277981196.14517 35277981196.14517 -1.255091344099222e-38 0.0 -1.255091344099222e-38
550 23518654130.763447 35277981196.14517 35277981196.14517 -1.1240195278057253e-38 0.0 -1.1240195278057253e-38
560 23518654130.763447 35277981196.14517 35277981196.14517 -1.0086420583071215e-38 0.0 -1.0086420583071215e-38
570 23518654130.763447 35277981196.14517 35277981196.14517 -9.068476252396602e-39 0.0 -9.068476252396602e-39
580 23518654130.763447 35277981196.14517 35277981196.14517 -8.168391295394798e-39 0.0 -8.168391295394798e-39
590 23518654130.763447 35277981196.14517 35277981196.14517 -7.37082576653965e-39 0.0 -7.37082576653965e-39
600 23518654130.763447 35277981196.14517 35277981196.14517 -6.662649662802786e-39 0.0 -6.662649662802786e-39
610 23518654130.763447 35277981196.14517 35277981196.14517 -6.032594783526489e-39 0.0 -6.032594783526489e-39
620 23518654130.763447 35277981196.14517 35277981196.14517 -5.470965976868147e-39 0.0 -5.470965976868147e-39
630 23518654130.763447 35277981196.14517 35277981196.14517 -4.969400891389745e-39 0.0 -4.969400891389745e-39
640 23518654130.763447 35277981196.14517 35277981196.14517 -4.520669478640515e-39 0.0 -4.520669478640515e-39
650 23518654130.763447 35277981196.14517 35277981196.14517 -4.118506178667025e-39 0.0 -4.118506178667025e-39
660 23518654130.763447 35277981196.14517 35277981196.14517 -3.7574690618798573e-39 0.0 -3.7574690618798573e-39
670 23518654130.763447 35277981196.14517 35277981196.14517 -3.432821271972847e-39 0.0 -3.432821271972847e-39
680 23518654130.763447 35277981196.14517 35277981196.14517 -3.140430973120281e-39 0.0 -3.140430973120281e-39
690 23518654130.763447 35277981196.14517 35277981196.14517 -2.8766866950964673e-39 0.0 -2.8766866950964673e-39
700 23518654130.763447 35277981196.14517 35277981196.14517 -2.6384255270512733e-39 0.0 -2.6384255270512733e-39
710 23518654130.763447 35277981196.14517 35277981196.14517 -2.422872061643513e-39 0.0 -2.422872061643513e-39
720 23518654130.763447 35277981196.14517 35277981196.14517 -2.227586357449023e-39 0.0 -2.227586357449023e-39
730 23518654130.763447 35277981196.14517 35277981196.14517 -2.0504194858597442e-39 0.0 -2.0504194858597442e-39
740 23518654130.763447 35277981196.14517 35277981196.14517 -1.8894754723920918e-39 0.0 -1.8894754723920918e-39
750 23518654130.763447 35277981196.14517 35277981196.14517 -1.7430786419949477e-39 0.0 -1.7430786419949477e-39
760 23518654130.763447 35277981196.14517 35277981196.14517 -1.609745542003778e-39 0.0 -1.609745542003778e-39
770 23518654130.763447 35277981196.14517 35277981196.14517 -1.488160751548017e-39 0.0 -1.488160751548017e-39
780 23518654130.763447 35277981196.14517 35277981196.14517 -1.3771559978694127e-39 0.0 -1.3771559978694127e-39
790 23518654130.763447 35277981196.14517 35277981196.14517 -1.2756920924761247e-39 0.0 -1.2756920924761247e-39
800 23518654130.763447 35277981196.14517 35277981196.14517 -1.182843276830267e-39 0.0 -1.182843276830267e-39
810 23518654130.763447 35277981196.14517 35277981196.14517 -1.0977836311642869e-39 0.0 -1.0977836311642869e-39
820 23518654130.763447 35277981196.14517 35277981196.14517 -1.019775253330417e-39 0.0 -1.019775253330417e-39
830 23518654130.763447 35277981196.14517 35277981196.14517 -9.4815795916531e-40 0.0 -9.4815795916531e-40
840 23518654130.763447 35277981196.14517 35277981196.14517 -8.823402932130302e-40 0.0 -8.823402932130302e-40
850 23518654130.763447 35277981196.14517 35277981196.14517 -8.217916700314989e-40 0.0 -8.217916700314989e-40
860 23518654130.763447 35277981196.14517 35277981196.14517 -7.660354927236052e-40 0.0 -7.660354927236052e-40
870 23518654130.763447 35277981196.14517 35277981196.14517 -7.146431176172041e-40 0.0 -7.146431176172041e-40
880 23518654130.763447 35277981196.14517 35277981196.14517 -6.672285528530671e-40 0.0 -6.672285528530671e-40
890 23518654130.763447 35277981196.14517 35277981196.14517 -6.2344379459211825e-40 0.0 -6.2344379459211825e-40
900 23518654130.763447 35277981196.14517 35277981196.14517 -5.829747180904394e-40 0.0 -5.829747180904394e-40
910 23518654130.763447 35277981196.14517 35277981196.14517 -5.4553745240012e-40 0.0 -5.4553745240012e-40
920 23518654130.763447 35277981196.14517 35277981196.14517 -5.1087517725799026e-40 0.0 -5.1087517725799026e-40
930 23518654130.763447 35277981196.14517 35277981196.14517 -4.787552890905694e-40 0.0 -4.787552890905694e-40
940 23518654130.763447 35277981196.14517 35277981196.14517 -4.489668902157132e-40 0.0 -4.489668902157132e-40
950 23518654130.763447 35277981196.14517 35277981196.14517 -4.213185614462791e-40 0.0 -4.213185614462791e-40
960 23518654130.763447 35277981196.14517 35277981196.14517 -3.956363835551897e-40 0.0 -3.956363835551897e-40
970 23518654130.763447 35277981196.14517 35277981196.14517 -3.717621775757843e-40 0.0 -3.717621775757843e-40
980 23518654130.763447 35277981196.14517 35277981196.14517 -3.495519377967909e-40 0.0 -3.495519377967909e-40
990 23518654130.763447 35277981196.14517 35277981196.14517 -3.288744346605976e-40 0.0 -3.288744346605976e-40
1000 23518654130.763447 35277981196.14517 35277981196.14517 -3.0960996766519814e-40 0.0 -3.0960996766519814e-40
1010 23518654130.763447 35277981196.14517 35277981196.14517 -2.916492508706235e-40 0.0 -2.916492508706235e-40
1020 23518654130.763447 35277981196.14517 35277981196.14517 -2.7489241577600784e-40 0.0 -2.7489241577600784e-40
1030 23518654130.763447 35277981196.14517 35277981196.14517 -2.5924811821130476e-40 0.0 -2.5924811821130476e-40
1040 23518654130.763447 35277981196.14517 35277981196.14517 -2.44632737518638e-40 0.0 -2.44632737518638e-40
1050 23518654130.763447 35277981196.14517 35277981196.14517 -2.309696577167144e-40 0.0 -2.309696577167144e-40
1060 23518654130.763447 35277981196.14517 35277981196.14517 -2.1818862157711706e-40 0.0 -2.1818862157711706e-40
1070 23518654130.763447 35277981196.14517 35277981196.14517 -2.0622514961866068e-40 0.0 -2.0622514961866068e-40
1080 23518654130.763447 35277981196.14517 35277981196.14517 -1.950200169668094e-40 0.0 -1.950200169668094e-40
1090 23518654130.763447 35277981196.14517 35277981196.14517 -1.8451878184782013e-40 0.0 -1.8451878184782013e-40
1100 23518654130.763447 35277981196.14517 35277981196.14517 -1.7467136020749525e-40 0.0 -1.7467136020749525e-40
1110 23518654130.763447 35277981196.14517 35277981196.14517 -1.6543164157580914e-40 0.0 -1.6543164157580914e-40
1120 23518654130.763447 35277981196.14517 35277981196.14517 -1.567571418528083e-40 0.0 -1.567571418528083e-40
1130 23518654130.763447 35277981196.14517 35277981196.14517 -1.4860868917812755e-40 0.0 -1.4860868917812755e-40
1140 23518654130.763447 35277981196.14517 35277981196.14517 -1.4095013947488211e-40 0.0 -1.4095013947488211e-40
1150 23518654130.763447 35277981196.14517 35277981196.14517 -1.337481186360336e-40 0.0 -1.337481186360336e-40
1160 23518654130.763447 35277981196.14517 35277981196.14517 -1.2697178865407792e-40 0.0 -1.2697178865407792e-40
1170 23518654130.763447 35277981196.14517 35277981196.14517 -1.205926352886538e-40 0.0 -1.205926352886538e-40
1180 23518654130.763447 35277981196.14517 35277981196.14517 -1.1458427512628175e-40 0.0 -1.1458427512628175e-40
1190 23518654130.763447 35277981196.14517 35277981196.14517 -1.089222801161201e-40 0.0 -1.089222801161201e-40
1200 23518654130.763447 35277981196.14517 35277981196.14517 -1.0358401786905916e-40 0.0 -1.0358401786905916e-40
1210 23518654130.763447 35277981196.14517 35277981196.14517 -9.854850618782252e-41 0.0 -9.854850618782252e-41
1220 23518654130.763447 35277981196.14517 35277981196.14517 -9.37962804558133e-41 0.0 -9.37962804558133e-41
1230 23518654130.763447 35277981196.14517 35277981196.14517 -8.930927265465222e-41 0.0 -8.930927265465222e-41
1240 23518654130.763447 35277981196.14517 35277981196.14517 -8.507070090680713e-41 0.0 -8.507070090680713e-41
1250 23518654130.763447 35277981196.14517 35277981196.14517 -8.106496855228752e-41 0.0 -8.106496855228752e-41
1260 23518654130.763447 35277981196.14517 35277981196.14517 -7.727757186867955e-41 0.0 -7.727757186867955e-41
1270 23518654130.763447 35277981196.14517 35277981196.14517 -7.369501563324284e-41 0.0 -7.369501563324284e-41
1280 23518654130.763447 35277981196.14517 35277981196.14517 -7.030473580565197e-41 0.0 -7.030473580565197e-41
1290 23518654130.763447 35277981196.14517 35277981196.14517 -6.709502868130655e-41 0.0 -6.709502868130655e-41
1300 23518654130.763447 35277981196.14517 35277981196.14517 -6.405498592894462e-41 0.0 -6.405498592894462e-41
1310 23518654130.763447 35277981196.14517 35277981196.14517 -6.117443498340467e-41 0.0 -6.117443498340467e-41
1320 23518654130.763447 35277981196.14517 35277981196.14517 -5.844388431554898e-41 0.0 -5.844388431554898e-41
1330 23518654130.763447 35277981196.14517 35277981196.14517 -5.585447314723602e-41 0.0 -5.585447314723602e-41
1340 23518654130.763447 35277981196.14517 35277981196.14517 -5.339792522040199e-41 0.0 -5.339792522040199e-41
1350 23518654130.763447 35277981196.14517 35277981196.14517 -5.10665062662866e-41 0.0 -5.10665062662866e-41
1360 23518654130.763447 35277981196.14517 35277981196.14517 -4.885298485407573e-41 0.0 -4.885298485407573e-41
1370 23518654130.763447 35277981196.14517 35277981196.14517 -4.675059632813584e-41 0.0 -4.675059632813584e-41
1380 23518654130.763447 35277981196.14517 35277981196.14517 -4.475300956993233e-41 0.0 -4.475300956993233e-41
1390 23518654130.763447 35277981196.14517 35277981196.14517 -4.28542963449819e-41 0.0 -4.28542963449819e-41
1400 23518654130.763447 35277981196.14517 35277981196.14517 -4.1048903017059546e-41 0.0 -4.1048903017059546e-41
1410 23518654130.763447 35277981196.14517 35277981196.14517 -3.933162443161826e-41 0.0 -3.933162443161826e-41
1420 23518654130.763447 35277981196.14517 35277981196.14517 -3.769757978820215e-41 0.0 -3.769757978820215e-41
1430 23518654130.763447 35277981196.14517 35277981196.14517 -3.614219033774539e-41 0.0 -3.614219033774539e-41
1440 23518654130.763447 35277981196.14517 35277981196.14517 -3.466115875521366e-41 0.0 -3.466115875521366e-41
1450 23518654130.763447 35277981196.14517 35277981196.14517 -3.325045005123278e-41 0.0 -3.325045005123278e-41
1460 23518654130.763447 35277981196.14517 35277981196.14517 -3.1906273898290514e-41 0.0 -3.1906273898290514e-41
1470 23518654130.763447 35277981196.14517 35277981196.14517 -3.062506825791904e-41 0.0 -3.062506825791904e-41
1480 23518654130.763447 35277981196.14517 35277981196.14517 -2.9403484205082707e-41 0.0 -2.9403484205082707e-41
1490 23518654130.763447 35277981196.14517 35277981196.14517 -2.8238371854903926e-41 0.0 -2.8238371854903926e-41
